X,CH1,Unnamed: 3,CH3
-0.00010800000018,-1.58,,0.7000000000000002
-0.00010599999951,-1.54,,0.6000000000000001
-0.00010399999883,-1.58,,0.6000000000000001
-0.00010199999815,-1.56,,0.52
-9.9999997474e-05,-1.54,,0.52
-9.7999996797e-05,-1.58,,0.43999999999999995
-9.6000003396e-05,-1.56,,0.43999999999999995
-9.4000002719e-05,-1.52,,0.3400000000000001
-9.2000002041e-05,-1.52,,0.3400000000000001
-9.0000001364e-05,-1.54,,0.24
-8.8000000687e-05,-1.52,,0.24
-8.600000001e-05,-1.48,,0.14
-8.3999999333e-05,-1.48,,0.14
-8.1999998656e-05,-1.44,,0.05999999999999994
-7.9999997979e-05,-1.44,,0.07999999999999996
-7.7999997302e-05,-1.42,,-0.039999999999999925
-7.5999996625e-05,-1.4,,-0.039999999999999925
-7.4000003224e-05,-1.36,,-0.14
-7.2000002547e-05,-1.36,,-0.14
-7.000000187e-05,-1.3,,-0.21999999999999997
-6.8000001193e-05,-1.3,,-0.21999999999999997
-6.6000000515e-05,-1.26,,-0.32
-6.3999999838e-05,-1.26,,-0.34
-6.1999999161e-05,-1.2,,-0.4
-5.9999998484e-05,-1.2,,-0.42000000000000004
-5.8000001445e-05,-1.12,,-0.52
-5.6000000768e-05,-1.12,,-0.5
-5.4000000091e-05,-1.04,,-0.6
-5.1999999414e-05,-1.06,,-0.6199999999999999
-4.9999998737e-05,-0.98,,-0.64
-4.8000001698e-05,-0.98,,-0.7
-4.6000001021e-05,-0.92,,-0.76
-4.4000000344e-05,-0.9,,-0.7799999999999999
-4.1999999667e-05,-0.82,,-0.8600000000000001
-3.999999899e-05,-0.82,,-0.8799999999999999
-3.7999998312e-05,-0.74,,-0.98
-3.6000001273e-05,-0.74,,-0.96
-3.4000000596e-05,-0.66,,-1.02
-3.1999999919e-05,-0.64,,-1.04
-2.9999999242e-05,-0.56,,-1.08
-2.8000000384e-05,-0.56,,-1.1
-2.5999999707e-05,-0.46,,-1.1400000000000001
-2.4000000849e-05,-0.46,,-1.1600000000000001
-2.2000000172e-05,-0.38,,-1.2
-1.9999999495e-05,-0.38,,-1.22
-1.8000000637e-05,-0.28,,-1.3
-1.599999996e-05,-0.28,,-1.3
-1.4000000192e-05,-0.18,,-1.3399999999999999
-1.2000000424e-05,-0.18,,-1.3399999999999999
-9.9999997473e-06,-0.0799,,-1.38
-7.9999999798e-06,-0.06,,-1.38
-6.0000002122e-06,0.02,,-1.42
-3.9999999899e-06,0.04,,-1.42
-1.999999995e-06,0.12,,-1.46
0.0,0.14,,-1.44
1.999999995e-06,0.22,,-1.52
3.9999999899e-06,0.24,,-1.48
6.0000002122e-06,0.32,,-1.52
7.9999999798e-06,0.32,,-1.5
9.9999997473e-06,0.42,,-1.52
1.2000000424e-05,0.44,,-1.52
1.4000000192e-05,0.5,,-1.54
1.599999996e-05,0.52,,-1.58
1.8000000637e-05,0.6,,-1.58
1.9999999495e-05,0.6,,-1.58
2.2000000172e-05,0.68,,-1.5599999999999998
2.4000000849e-05,0.7,,-1.5599999999999998
2.5999999707e-05,0.76,,-1.58
2.8000000384e-05,0.78,,-1.56
2.9999999242e-05,0.86,,-1.54
3.1999999919e-05,0.86,,-1.54
3.4000000596e-05,0.94,,-1.54
3.6000001273e-05,0.94,,-1.54
3.7999998312e-05,1.0,,-1.5
3.999999899e-05,1.0,,-1.52
4.1999999667e-05,1.08,,-1.48
4.4000000344e-05,1.08,,-1.48
4.6000001021e-05,1.16,,-1.44
4.8000001698e-05,1.16,,-1.44
4.9999998737e-05,1.22,,-1.4000000000000001
5.1999999414e-05,1.22,,-1.4000000000000001
5.4000000091e-05,1.26,,-1.3800000000000001
5.6000000768e-05,1.28,,-1.36
5.8000001445e-05,1.32,,-1.3
5.9999998484e-05,1.32,,-1.28
6.1999999161e-05,1.38,,-1.24
6.3999999838e-05,1.38,,-1.24
6.6000000515e-05,1.4,,-1.1800000000000002
6.8000001193e-05,1.42,,-1.1800000000000002
7.000000187e-05,1.44,,-1.12
7.2000002547e-05,1.44,,-1.1400000000000001
7.4000003224e-05,1.48,,-1.04
7.5999996625e-05,1.48,,-1.04
7.7999997302e-05,1.5,,-0.98
7.9999997979e-05,1.52,,-0.98
8.1999998656e-05,1.52,,-0.9199999999999999
8.3999999333e-05,1.54,,-0.8799999999999999
8.600000001e-05,1.52,,-0.82
8.8000000687e-05,1.54,,-0.82
9.0000001364e-05,1.56,,-0.7399999999999999
9.2000002041e-05,1.56,,-0.7399999999999999
9.4000002719e-05,1.54,,-0.6600000000000001
9.6000003396e-05,1.56,,-0.6400000000000001
9.7999996797e-05,1.54,,-0.5800000000000001
9.9999997474e-05,1.54,,-0.5800000000000001
0.00010199999815,1.52,,-0.45999999999999996
0.00010399999883,1.54,,-0.45999999999999996
0.00010599999951,1.5,,-0.36
0.00010800000018,1.52,,-0.36
0.00011000000086,1.48,,-0.26
0.00011200000154,1.5,,-0.26
0.00011400000221,1.46,,-0.18000000000000005
0.00011600000289,1.46,,-0.16000000000000003
0.00011799999629,1.42,,-0.12
0.00011999999697,1.42,,-0.07999999999999996
0.00012199999765,1.38,,0.020000000000000018
0.00012399999832,1.38,,0.020000000000000018
0.000125999999,1.34,,0.09999999999999998
0.00012799999968,1.34,,0.09999999999999998
0.00013000000035,1.3,,0.19999999999999996
0.00013200000103,1.3,,0.19999999999999996
0.00013400000171,1.24,,0.27999999999999997
0.00013600000239,1.24,,0.32
0.00013800000306,1.18,,0.36
0.00014000000374,1.18,,0.38
0.00014200000442,1.1,,0.48000000000000004
0.00014400000509,1.1,,0.48000000000000004
0.00014600000577,1.04,,0.5800000000000001
0.00014800000645,1.04,,0.56
0.00014999999257,0.96,,0.66
0.00015199999325,0.96,,0.66
0.00015399999393,0.88,,0.7201000000000001
0.0001559999946,0.88,,0.74
0.00015799999528,0.82,,0.8400000000000001
0.00015999999596,0.8,,0.8400000000000001
0.00016199999664,0.72,,0.92
0.00016399999731,0.72,,0.92
0.00016599999799,0.64,,0.98
0.00016799999867,0.64,,0.98
0.00016999999934,0.56,,1.08
0.00017200000002,0.54,,1.08
0.0001740000007,0.46,,1.12
0.00017600000137,0.46,,1.12
0.00017800000205,0.36,,1.22
0.00018000000273,0.34,,1.2
0.00018200000341,0.28,,1.24
0.00018400000408,0.26,,1.26
0.00018600000476,0.16,,1.2999999999999998
0.00018800000544,0.16,,1.3199999999999998
0.00019000000611,0.06,,1.3599999999999999
0.00019200000679,0.06,,1.3599999999999999
0.00019399999292,-0.02,,1.38
0.00019599999359,-0.06,,1.4
0.00019799999427,-0.14,,1.42
0.00019999999495,-0.14,,1.42
0.00020199999562,-0.24,,1.46
0.0002039999963,-0.24,,1.44
0.00020599999698,-0.34,,1.48
0.00020799999766,-0.34,,1.48
0.00020999999833,-0.42,,1.5
0.00021199999901,-0.44,,1.52
0.00021399999969,-0.52,,1.52
0.00021600000036,-0.52,,1.52
0.00021800000104,-0.62,,1.52
0.00022000000172,-0.62,,1.52
0.0002220000024,-0.7,,1.54
0.00022400000307,-0.72,,1.54
0.00022600000375,-0.78,,1.54
0.00022800000443,-0.8,,1.54
0.0002300000051,-0.88,,1.5
0.00023200000578,-0.88,,1.52
0.00023400000646,-0.94,,1.5
0.00023599999258,-0.96,,1.52
0.00023799999326,-1.0,,1.48
0.00023999999394,-1.04,,1.5
0.00024199999461,-1.1,,1.48
0.00024399999529,-1.1,,1.44
0.00024600001052,-1.16,,1.44
0.00024799999665,-1.18,,1.44
0.00025000001187,-1.24,,1.3599
0.000251999998,-1.24,,1.3799000000000001
0.00025400001323,-1.3,,1.36
0.00025599999935,-1.3,,1.34
0.00025799998548,-1.34,,1.3
0.00026000000071,-1.34,,1.28
0.00026199998683,-1.4,,1.2401
0.00026400000206,-1.38,,1.2401
0.00026599998819,-1.44,,1.1400000000000001
0.00026800000342,-1.44,,1.1600000000000001
0.00026999998954,-1.48,,1.1
0.00027200000477,-1.48,,1.08
0.0002739999909,-1.5,,1.06
0.00027600000612,-1.5,,1.02
0.00027799999225,-1.52,,0.94
0.00028000000748,-1.52,,0.96
0.0002819999936,-1.54,,0.8799999999999999
0.00028400000883,-1.54,,0.8599999999999999
0.00028599999496,-1.56,,0.7799999999999999
0.00028800001019,-1.54,,0.7799999999999999
0.00028999999631,-1.58,,0.7200000000000001
0.00029200001154,-1.58,,0.7200000000000001
0.00029399999767,-1.56,,0.6000000000000001
0.0002960000129,-1.54,,0.6000000000000001
0.00029799999902,-1.58,,0.52
0.00029999998515,-1.54,,0.52
0.00030200000037,-1.58,,0.43999999999999995
0.0003039999865,-1.56,,0.41999999999999993
0.00030600000173,-1.54,,0.3400000000000001
0.00030799998785,-1.52,,0.3400000000000001
0.00031000000308,-1.54,,0.26
0.00031199998921,-1.5,,0.26
0.00031400000444,-1.48,,0.14
0.00031599999056,-1.48,,0.16000000000000003
0.00031800000579,-1.46,,0.05999999999999994
0.00031999999192,-1.44,,0.07999999999999996
0.00032200000715,-1.4,,-0.019999999999999907
0.00032399999327,-1.4,,-0.039999999999999925
0.0003260000085,-1.36,,-0.12
0.00032799999462,-1.36,,-0.14
0.00033000000985,-1.32,,-0.21999999999999997
0.00033199999598,-1.3,,-0.21999999999999997
0.00033400001121,-1.26,,-0.32
0.00033599999733,-1.24,,-0.32
0.00033800001256,-1.18,,-0.4
0.00033999999869,-1.2,,-0.42000000000000004
0.00034199998481,-1.12,,-0.52
0.00034400000004,-1.12,,-0.52
0.00034599998617,-1.04,,-0.5800000000000001
0.0003480000014,-1.04,,-0.6000000000000001
0.00034999998752,-0.98,,-0.6799999999999999
0.00035200000275,-0.98,,-0.7
0.00035399998887,-0.92,,-0.74
0.0003560000041,-0.9,,-0.76
0.00035799999023,-0.82,,-0.86
0.00036000000546,-0.82,,-0.8799999999999999
0.00036199999158,-0.76,,-0.96
0.00036400000681,-0.72,,-0.96
0.00036599999294,-0.66,,-1.02
0.00036800000817,-0.66,,-1.04
0.00036999999429,-0.56,,-1.1
0.00037200000952,-0.56,,-1.1199999999999999
0.00037399999565,-0.48,,-1.1400000000000001
0.00037600001087,-0.46,,-1.1800000000000002
0.000377999997,-0.38,,-1.22
0.00038000001223,-0.36,,-1.22
0.00038199999835,-0.28,,-1.3
0.00038400001358,-0.26,,-1.3
0.00038599999971,-0.18,,-1.3399999999999999
0.00038799998583,-0.18,,-1.3199999999999998
0.00039000000106,-0.0799,,-1.3599999999999999
0.00039199998719,-0.0799,,-1.38
0.00039400000242,0.02,,-1.4
0.00039599998854,0.04,,-1.42
0.00039800000377,0.14,,-1.46
0.0003999999899,0.14,,-1.46
0.00040200000512,0.22,,-1.48
0.00040399999125,0.24,,-1.48
0.00040600000648,0.32,,-1.52
0.0004079999926,0.34,,-1.5
0.00041000000783,0.42,,-1.52
0.00041199999396,0.42,,-1.52
0.00041400000919,0.52,,-1.54
0.00041599999531,0.52,,-1.54
0.00041800001054,0.6,,-1.56
0.00041999999667,0.6,,-1.56
0.00042200001189,0.7,,-1.5599999999999998
0.00042399999802,0.7,,-1.5599999999999998
0.00042600001325,0.76,,-1.56
0.00042799999937,0.78,,-1.56
0.0004299999855,0.84,,-1.56
0.00043200000073,0.86,,-1.54
0.00043399998685,0.94,,-1.54
0.00043600000208,0.94,,-1.54
0.00043799998821,1.0,,-1.5
0.00044000000344,1.02,,-1.5
0.00044199998956,1.08,,-1.48
0.00044400000479,1.08,,-1.48
0.00044599999092,1.16,,-1.44
0.00044800000614,1.16,,-1.44
0.00044999999227,1.22,,-1.4000000000000001
0.0004520000075,1.22,,-1.4000000000000001
0.00045399999362,1.28,,-1.3800000000000001
0.00045600000885,1.28,,-1.32
0.00045799999498,1.32,,-1.32
0.00046000001021,1.32,,-1.28
0.00046199999633,1.36,,-1.26
0.00046400001156,1.36,,-1.24
0.00046599999769,1.4,,-1.1800000000000002
0.00046800001292,1.4,,-1.1800000000000002
0.00046999999904,1.46,,-1.12
0.00047199998517,1.46,,-1.12
0.00047400000039,1.48,,-1.04
0.00047599998652,1.48,,-1.04
0.00047800000175,1.5,,-0.98
0.00047999998787,1.52,,-0.98
0.0004820000031,1.54,,-0.8999999999999999
0.00048399998923,1.54,,-0.8999999999999999
0.00048600000446,1.54,,-0.82
0.00048799999058,1.54,,-0.82
0.00049000000581,1.56,,-0.7399999999999999
0.00049200002104,1.56,,-0.7399999999999999
0.00049399997806,1.54,,-0.6600000000000001
0.00049599999329,1.54,,-0.6400000000000001
0.00049800000852,1.56,,-0.5800000000000001
0.00050000002375,1.54,,-0.54
0.00050199998077,1.54,,-0.45999999999999996
0.000503999996,1.54,,-0.45999999999999996
0.00050600001123,1.52,,-0.36
0.00050800002646,1.52,,-0.36
0.00050999998348,1.5,,-0.28
0.00051199999871,1.5,,-0.26
0.00051400001394,1.46,,-0.18000000000000005
0.00051599997096,1.46,,-0.18000000000000005
0.00051799998619,1.42,,-0.07999999999999996
0.00052000000142,1.42,,-0.07999999999999996
0.00052200001664,1.38,,0.020000000000000018
0.00052399997367,1.38,,0.039999999999999925
0.00052599998889,1.34,,0.06000000000000005
0.00052800000412,1.34,,0.09999999999999998
0.00053000001935,1.3,,0.19999999999999996
0.00053199997637,1.3,,0.19999999999999996
0.0005339999916,1.24,,0.27999999999999997
0.00053600000683,1.24,,0.3
0.00053800002206,1.18,,0.38
0.00053999997908,1.16,,0.38
0.00054199999431,1.12,,0.48000000000000004
0.00054400000954,1.1,,0.48000000000000004
0.00054600002477,1.04,,0.5800000000000001
0.00054799998179,1.04,,0.5800000000000001
0.00054999999702,0.96,,0.64
0.00055200001225,0.96,,0.66
0.00055400002748,0.88,,0.74
0.0005559999845,0.88,,0.76
0.00055799999973,0.82,,0.8200000000000001
0.00056000001496,0.8,,0.8600000000000001
0.00056199997198,0.72,,0.92
0.00056399998721,0.72,,0.92
0.00056600000244,0.64,,0.96
0.00056800001767,0.64,,1.0
0.00056999997469,0.56,,1.06
0.00057199998992,0.54,,1.08
0.00057400000514,0.46,,1.1
0.00057600002037,0.44,,1.12
0.00057799997739,0.38,,1.2
0.00057999999262,0.34,,1.2
0.00058200000785,0.28,,1.26
0.00058400002308,0.26,,1.24
0.0005859999801,0.16,,1.2999999999999998
0.00058799999533,0.16,,1.2999999999999998
0.00059000001056,0.0799,,1.3599999999999999
0.00059200002579,0.06,,1.3599999999999999
0.00059399998281,-0.02,,1.4
0.00059599999804,-0.06,,1.4
0.00059800001327,-0.14,,1.42
